[03/25 16:43:07] SuperNet Training INFO: tag                 : gss-mobile0
[03/25 16:43:07] SuperNet Training INFO: seed                : 0
[03/25 16:43:07] SuperNet Training INFO: data_path           : ../../../dataset/ILSVRC2012
[03/25 16:43:07] SuperNet Training INFO: save_path           : ./SuperNet
[03/25 16:43:07] SuperNet Training INFO: search_space        : greedy
[03/25 16:43:07] SuperNet Training INFO: valid_size          : 50000
[03/25 16:43:07] SuperNet Training INFO: num_gpus            : 8
[03/25 16:43:07] SuperNet Training INFO: workers             : 4
[03/25 16:43:07] SuperNet Training INFO: interval_ep_eval    : 8
[03/25 16:43:07] SuperNet Training INFO: train_batch_size    : 1024
[03/25 16:43:07] SuperNet Training INFO: test_batch_size     : 256
[03/25 16:43:07] SuperNet Training INFO: max_epoch           : 120
[03/25 16:43:07] SuperNet Training INFO: learning_rate       : 0.12
[03/25 16:43:07] SuperNet Training INFO: momentum            : 0.9
[03/25 16:43:07] SuperNet Training INFO: weight_decay        : 4e-05
[03/25 16:43:07] SuperNet Training INFO: nesterov            : True
[03/25 16:43:07] SuperNet Training INFO: lr_schedule_type    : cosine
[03/25 16:43:07] SuperNet Training INFO: label_smooth        : 0.1
[03/25 16:43:07] SuperNet Training INFO: rank                : 0
[03/25 16:43:07] SuperNet Training INFO: gpu                 : 0
[03/25 16:43:07] SuperNet Training INFO: save_name           : gss-mobile0-seed-0
[03/25 16:43:07] SuperNet Training INFO: log_path            : ./SuperNet/logs/gss-mobile0-seed-0.txt
[03/25 16:43:07] SuperNet Training INFO: ckpt_path           : ./SuperNet/checkpoint/gss-mobile0-seed-0.pt
[03/25 16:43:07] SuperNet Training INFO: dist_url            : tcp://127.0.0.1:23456
[03/25 16:43:07] SuperNet Training INFO: world_size          : 8
[03/25 16:43:07] SuperNet Training INFO: distributed         : True
[03/25 16:44:16] SuperNet Training INFO: Trainset Size: 1231167
[03/25 16:44:16] SuperNet Training INFO: Validset Size:   50000
[03/25 16:44:16] SuperNet Training INFO: Compose(
    RandomResizedCrop(size=(224, 224), scale=(0.08, 1.0), ratio=(0.75, 1.3333), interpolation=bilinear)
    RandomHorizontalFlip(p=0.5)
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)
[03/25 16:44:16] SuperNet Training INFO: --> START gss-mobile0-seed-0
[03/25 16:47:15] SuperNet Training INFO: iter:   120/144360  CE: 6.9296  
[03/25 16:48:19] SuperNet Training INFO: iter:   240/144360  CE: 6.8880  
[03/25 16:49:23] SuperNet Training INFO: iter:   360/144360  CE: 6.9355  
[03/25 16:50:27] SuperNet Training INFO: iter:   480/144360  CE: 6.9446  
[03/25 16:51:30] SuperNet Training INFO: iter:   600/144360  CE: 6.8775  
[03/25 16:52:35] SuperNet Training INFO: iter:   720/144360  CE: 6.9014  
[03/25 16:53:39] SuperNet Training INFO: iter:   840/144360  CE: 6.9302  
[03/25 16:54:44] SuperNet Training INFO: iter:   960/144360  CE: 6.9191  
[03/25 16:55:48] SuperNet Training INFO: iter:  1080/144360  CE: 6.9358  
[03/25 16:56:52] SuperNet Training INFO: iter:  1200/144360  CE: 6.9631  
[03/25 16:56:53] SuperNet Training INFO: --> epoch:   1/120  avg CE: 6.9117  lr: 0.11997943949853311  
[03/25 16:58:29] SuperNet Training INFO: iter:  1320/144360  CE: 6.9116  
[03/25 16:59:34] SuperNet Training INFO: iter:  1440/144360  CE: 6.8636  
[03/25 17:00:38] SuperNet Training INFO: iter:  1560/144360  CE: 6.8122  
[03/25 17:01:42] SuperNet Training INFO: iter:  1680/144360  CE: 6.8565  
[03/25 17:02:46] SuperNet Training INFO: iter:  1800/144360  CE: 6.8693  
[03/25 17:03:50] SuperNet Training INFO: iter:  1920/144360  CE: 6.9263  
[03/25 17:04:55] SuperNet Training INFO: iter:  2040/144360  CE: 6.9083  
[03/25 17:05:58] SuperNet Training INFO: iter:  2160/144360  CE: 6.9018  
[03/25 17:07:01] SuperNet Training INFO: iter:  2280/144360  CE: 6.8570  
[03/25 17:08:05] SuperNet Training INFO: iter:  2400/144360  CE: 6.8253  
[03/25 17:08:07] SuperNet Training INFO: --> epoch:   2/120  avg CE: 6.8768  lr: 0.11991777208527424  
[03/25 17:09:41] SuperNet Training INFO: iter:  2520/144360  CE: 6.8723  
[03/25 17:10:45] SuperNet Training INFO: iter:  2640/144360  CE: 6.9192  
[03/25 17:11:48] SuperNet Training INFO: iter:  2760/144360  CE: 6.8809  
[03/25 17:12:51] SuperNet Training INFO: iter:  2880/144360  CE: 6.8101  
[03/25 17:13:55] SuperNet Training INFO: iter:  3000/144360  CE: 6.8679  
[03/25 17:14:59] SuperNet Training INFO: iter:  3120/144360  CE: 6.8080  
[03/25 17:16:03] SuperNet Training INFO: iter:  3240/144360  CE: 6.7913  
[03/25 17:17:06] SuperNet Training INFO: iter:  3360/144360  CE: 6.8774  
[03/25 17:18:10] SuperNet Training INFO: iter:  3480/144360  CE: 6.8590  
[03/25 17:19:14] SuperNet Training INFO: iter:  3600/144360  CE: 6.7831  
[03/25 17:19:18] SuperNet Training INFO: --> epoch:   3/120  avg CE: 6.8364  lr: 0.11981504002398749  
[03/25 17:20:52] SuperNet Training INFO: iter:  3720/144360  CE: 6.7625  
[03/25 17:21:57] SuperNet Training INFO: iter:  3840/144360  CE: 6.8132  
[03/25 17:23:03] SuperNet Training INFO: iter:  3960/144360  CE: 6.8255  
[03/25 17:24:08] SuperNet Training INFO: iter:  4080/144360  CE: 6.8187  
[03/25 17:25:13] SuperNet Training INFO: iter:  4200/144360  CE: 6.8293  
[03/25 17:26:18] SuperNet Training INFO: iter:  4320/144360  CE: 6.7446  
[03/25 17:27:23] SuperNet Training INFO: iter:  4440/144360  CE: 6.7674  
[03/25 17:28:28] SuperNet Training INFO: iter:  4560/144360  CE: 6.7458  
[03/25 17:29:33] SuperNet Training INFO: iter:  4680/144360  CE: 6.7471  
[03/25 17:30:37] SuperNet Training INFO: iter:  4800/144360  CE: 6.7643  
[03/25 17:30:43] SuperNet Training INFO: --> epoch:   4/120  avg CE: 6.7807  lr: 0.11967131372209595  
[03/25 17:32:16] SuperNet Training INFO: iter:  4920/144360  CE: 6.7702  
[03/25 17:33:22] SuperNet Training INFO: iter:  5040/144360  CE: 6.7606  
[03/25 17:34:28] SuperNet Training INFO: iter:  5160/144360  CE: 6.7926  
[03/25 17:35:32] SuperNet Training INFO: iter:  5280/144360  CE: 6.7139  
[03/25 17:36:37] SuperNet Training INFO: iter:  5400/144360  CE: 6.5809  
[03/25 17:37:42] SuperNet Training INFO: iter:  5520/144360  CE: 6.7228  
[03/25 17:38:48] SuperNet Training INFO: iter:  5640/144360  CE: 6.7262  
[03/25 17:39:53] SuperNet Training INFO: iter:  5760/144360  CE: 6.7470  
[03/25 17:40:57] SuperNet Training INFO: iter:  5880/144360  CE: 6.6977  
[03/25 17:42:01] SuperNet Training INFO: iter:  6000/144360  CE: 6.7532  
[03/25 17:42:09] SuperNet Training INFO: --> epoch:   5/120  avg CE: 6.7192  lr: 0.11948669168242801  
[03/25 17:43:38] SuperNet Training INFO: iter:  6120/144360  CE: 6.7125  
[03/25 17:44:41] SuperNet Training INFO: iter:  6240/144360  CE: 6.6456  
[03/25 17:45:44] SuperNet Training INFO: iter:  6360/144360  CE: 6.7388  
[03/25 17:46:48] SuperNet Training INFO: iter:  6480/144360  CE: 6.5784  
[03/25 17:47:52] SuperNet Training INFO: iter:  6600/144360  CE: 6.6243  
[03/25 17:48:55] SuperNet Training INFO: iter:  6720/144360  CE: 6.7059  
[03/25 17:49:59] SuperNet Training INFO: iter:  6840/144360  CE: 6.7115  
[03/25 17:51:03] SuperNet Training INFO: iter:  6960/144360  CE: 6.7269  
[03/25 17:52:06] SuperNet Training INFO: iter:  7080/144360  CE: 6.6203  
[03/25 17:53:10] SuperNet Training INFO: iter:  7200/144360  CE: 6.6313  
[03/25 17:53:20] SuperNet Training INFO: --> epoch:   6/120  avg CE: 6.6548  lr: 0.1192613004357081  
[03/25 17:54:48] SuperNet Training INFO: iter:  7320/144360  CE: 6.6635  
[03/25 17:55:53] SuperNet Training INFO: iter:  7440/144360  CE: 6.5391  
