[03/03 12:48:21] SuperNet Training INFO: tag                 : baseline0
[03/03 12:48:21] SuperNet Training INFO: seed                : 0
[03/03 12:48:21] SuperNet Training INFO: data_path           : ../../data/imagenet
[03/03 12:48:21] SuperNet Training INFO: save_path           : ./SuperNet
[03/03 12:48:21] SuperNet Training INFO: search_space        : proxyless
[03/03 12:48:21] SuperNet Training INFO: valid_size          : 50000
[03/03 12:48:21] SuperNet Training INFO: num_gpus            : 8
[03/03 12:48:21] SuperNet Training INFO: workers             : 3
[03/03 12:48:21] SuperNet Training INFO: interval_ep_eval    : 8
[03/03 12:48:21] SuperNet Training INFO: train_batch_size    : 1024
[03/03 12:48:21] SuperNet Training INFO: test_batch_size     : 256
[03/03 12:48:21] SuperNet Training INFO: max_epoch           : 120
[03/03 12:48:21] SuperNet Training INFO: learning_rate       : 0.12
[03/03 12:48:21] SuperNet Training INFO: momentum            : 0.9
[03/03 12:48:21] SuperNet Training INFO: weight_decay        : 4e-05
[03/03 12:48:21] SuperNet Training INFO: nesterov            : True
[03/03 12:48:21] SuperNet Training INFO: lr_schedule_type    : cosine
[03/03 12:48:21] SuperNet Training INFO: label_smooth        : 0.1
[03/03 12:48:21] SuperNet Training INFO: rank                : 0
[03/03 12:48:21] SuperNet Training INFO: gpu                 : 0
[03/03 12:48:21] SuperNet Training INFO: save_name           : baseline0-seed-0
[03/03 12:48:21] SuperNet Training INFO: log_path            : ./SuperNet/logs/baseline0-seed-0.txt
[03/03 12:48:21] SuperNet Training INFO: ckpt_path           : ./SuperNet/checkpoint/baseline0-seed-0.pt
[03/03 12:48:21] SuperNet Training INFO: dist_url            : tcp://127.0.0.1:23456
[03/03 12:48:21] SuperNet Training INFO: world_size          : 8
[03/03 12:48:21] SuperNet Training INFO: distributed         : True
[03/03 12:48:47] SuperNet Training INFO: Trainset Size: 1231167
[03/03 12:48:47] SuperNet Training INFO: Validset Size:   50000
[03/03 12:48:47] SuperNet Training INFO: Compose(
    RandomResizedCrop(size=(224, 224), scale=(0.08, 1.0), ratio=(0.75, 1.3333), interpolation=bilinear)
    RandomHorizontalFlip(p=0.5)
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)
[03/03 12:48:47] SuperNet Training INFO: --> START baseline0-seed-0
[03/03 12:50:04] SuperNet Training INFO: iter:   120/144360  CE: 6.9239  
[03/03 12:50:55] SuperNet Training INFO: iter:   240/144360  CE: 6.8277  
[03/03 12:51:46] SuperNet Training INFO: iter:   360/144360  CE: 6.9670  
[03/03 12:52:37] SuperNet Training INFO: iter:   480/144360  CE: 6.9052  
[03/03 12:53:28] SuperNet Training INFO: iter:   600/144360  CE: 6.8877  
[03/03 12:54:20] SuperNet Training INFO: iter:   720/144360  CE: 6.8928  
[03/03 12:55:11] SuperNet Training INFO: iter:   840/144360  CE: 6.8654  
[03/03 12:56:02] SuperNet Training INFO: iter:   960/144360  CE: 6.8093  
[03/03 12:56:53] SuperNet Training INFO: iter:  1080/144360  CE: 6.7629  
[03/03 12:57:45] SuperNet Training INFO: iter:  1200/144360  CE: 6.8899  
[03/03 12:57:46] SuperNet Training INFO: --> epoch:   1/120  avg CE: 6.8742  lr: 0.11997943949853311  
[03/03 12:58:57] SuperNet Training INFO: iter:  1320/144360  CE: 6.6781  
[03/03 12:59:49] SuperNet Training INFO: iter:  1440/144360  CE: 6.7041  
[03/03 13:00:40] SuperNet Training INFO: iter:  1560/144360  CE: 6.7066  
[03/03 13:01:31] SuperNet Training INFO: iter:  1680/144360  CE: 6.6735  
[03/03 13:02:23] SuperNet Training INFO: iter:  1800/144360  CE: 6.7015  
[03/03 13:03:14] SuperNet Training INFO: iter:  1920/144360  CE: 6.6992  
[03/03 13:04:05] SuperNet Training INFO: iter:  2040/144360  CE: 6.7585  
[03/03 13:04:56] SuperNet Training INFO: iter:  2160/144360  CE: 6.6797  
[03/03 13:05:47] SuperNet Training INFO: iter:  2280/144360  CE: 6.4694  
[03/03 13:06:40] SuperNet Training INFO: iter:  2400/144360  CE: 6.6286  
[03/03 13:06:42] SuperNet Training INFO: --> epoch:   2/120  avg CE: 6.7258  lr: 0.11991777208527424  
[03/03 13:07:50] SuperNet Training INFO: iter:  2520/144360  CE: 6.6236  
[03/03 13:08:41] SuperNet Training INFO: iter:  2640/144360  CE: 6.6528  
[03/03 13:09:32] SuperNet Training INFO: iter:  2760/144360  CE: 6.6012  
[03/03 13:10:24] SuperNet Training INFO: iter:  2880/144360  CE: 6.5898  
[03/03 13:11:15] SuperNet Training INFO: iter:  3000/144360  CE: 6.6215  
[03/03 13:12:06] SuperNet Training INFO: iter:  3120/144360  CE: 6.5903  
[03/03 13:12:56] SuperNet Training INFO: iter:  3240/144360  CE: 6.4800  
[03/03 13:13:48] SuperNet Training INFO: iter:  3360/144360  CE: 6.6802  
[03/03 13:14:39] SuperNet Training INFO: iter:  3480/144360  CE: 6.5152  
[03/03 13:15:30] SuperNet Training INFO: iter:  3600/144360  CE: 6.5274  
[03/03 13:15:34] SuperNet Training INFO: --> epoch:   3/120  avg CE: 6.5654  lr: 0.11981504002398749  
[03/03 13:16:42] SuperNet Training INFO: iter:  3720/144360  CE: 6.3230  
[03/03 13:17:33] SuperNet Training INFO: iter:  3840/144360  CE: 6.5821  
[03/03 13:18:24] SuperNet Training INFO: iter:  3960/144360  CE: 6.6556  
[03/03 13:19:15] SuperNet Training INFO: iter:  4080/144360  CE: 6.3811  
[03/03 13:20:06] SuperNet Training INFO: iter:  4200/144360  CE: 6.3842  
[03/03 13:20:57] SuperNet Training INFO: iter:  4320/144360  CE: 6.3340  
[03/03 13:21:48] SuperNet Training INFO: iter:  4440/144360  CE: 6.4326  
[03/03 13:22:39] SuperNet Training INFO: iter:  4560/144360  CE: 6.4668  
[03/03 13:23:29] SuperNet Training INFO: iter:  4680/144360  CE: 6.2435  
[03/03 13:24:21] SuperNet Training INFO: iter:  4800/144360  CE: 6.3025  
[03/03 13:24:26] SuperNet Training INFO: --> epoch:   4/120  avg CE: 6.3965  lr: 0.11967131372209595  
[03/03 13:25:32] SuperNet Training INFO: iter:  4920/144360  CE: 6.2889  
[03/03 13:26:23] SuperNet Training INFO: iter:  5040/144360  CE: 6.1847  
[03/03 13:27:15] SuperNet Training INFO: iter:  5160/144360  CE: 6.1290  
[03/03 13:28:07] SuperNet Training INFO: iter:  5280/144360  CE: 6.0673  
[03/03 13:28:58] SuperNet Training INFO: iter:  5400/144360  CE: 6.2263  
[03/03 13:29:50] SuperNet Training INFO: iter:  5520/144360  CE: 6.3101  
[03/03 13:30:40] SuperNet Training INFO: iter:  5640/144360  CE: 6.1287  
[03/03 13:31:33] SuperNet Training INFO: iter:  5760/144360  CE: 6.1936  
[03/03 13:32:24] SuperNet Training INFO: iter:  5880/144360  CE: 6.1242  
[03/03 13:33:15] SuperNet Training INFO: iter:  6000/144360  CE: 6.2378  
[03/03 13:33:21] SuperNet Training INFO: --> epoch:   5/120  avg CE: 6.2356  lr: 0.11948669168242801  
[03/03 13:34:26] SuperNet Training INFO: iter:  6120/144360  CE: 5.9927  
[03/03 13:35:17] SuperNet Training INFO: iter:  6240/144360  CE: 6.1539  
[03/03 13:36:09] SuperNet Training INFO: iter:  6360/144360  CE: 5.9946  
[03/03 13:37:00] SuperNet Training INFO: iter:  6480/144360  CE: 6.0454  
[03/03 13:37:52] SuperNet Training INFO: iter:  6600/144360  CE: 6.0006  
[03/03 13:38:43] SuperNet Training INFO: iter:  6720/144360  CE: 5.9850  
[03/03 13:39:34] SuperNet Training INFO: iter:  6840/144360  CE: 6.1774  
[03/03 13:40:25] SuperNet Training INFO: iter:  6960/144360  CE: 6.0720  
[03/03 13:41:16] SuperNet Training INFO: iter:  7080/144360  CE: 6.0738  
[03/03 13:42:07] SuperNet Training INFO: iter:  7200/144360  CE: 6.1042  
[03/03 13:42:14] SuperNet Training INFO: --> epoch:   6/120  avg CE: 6.0594  lr: 0.1192613004357081  
[03/03 13:43:19] SuperNet Training INFO: iter:  7320/144360  CE: 6.1511  
[03/03 13:44:10] SuperNet Training INFO: iter:  7440/144360  CE: 5.8660  
[03/03 13:45:01] SuperNet Training INFO: iter:  7560/144360  CE: 5.8795  
[03/03 13:45:53] SuperNet Training INFO: iter:  7680/144360  CE: 6.1022  
[03/03 13:46:43] SuperNet Training INFO: iter:  7800/144360  CE: 5.9218  
[03/03 13:47:35] SuperNet Training INFO: iter:  7920/144360  CE: 6.0408  
[03/03 13:48:26] SuperNet Training INFO: iter:  8040/144360  CE: 5.9638  
[03/03 13:49:18] SuperNet Training INFO: iter:  8160/144360  CE: 5.8649  
[03/03 13:50:09] SuperNet Training INFO: iter:  8280/144360  CE: 5.8666  
[03/03 13:51:00] SuperNet Training INFO: iter:  8400/144360  CE: 5.7916  
