[06/04 05:08:35] SuperNet Training INFO: tag                 : mobile0-k2rN-3638-TBS
[06/04 05:08:35] SuperNet Training INFO: seed                : 0
[06/04 05:08:35] SuperNet Training INFO: num_K               : 2
[06/04 05:08:35] SuperNet Training INFO: thresholds          : [36]
[06/04 05:08:35] SuperNet Training INFO: data_path           : ../../../dataset/ILSVRC2012
[06/04 05:08:35] SuperNet Training INFO: save_path           : ./SuperNet
[06/04 05:08:35] SuperNet Training INFO: search_space        : proxyless
[06/04 05:08:35] SuperNet Training INFO: valid_size          : 50000
[06/04 05:08:35] SuperNet Training INFO: num_gpus            : 8
[06/04 05:08:35] SuperNet Training INFO: workers             : 4
[06/04 05:08:35] SuperNet Training INFO: interval_ep_eval    : 8
[06/04 05:08:35] SuperNet Training INFO: train_batch_size    : 1024
[06/04 05:08:35] SuperNet Training INFO: test_batch_size     : 256
[06/04 05:08:35] SuperNet Training INFO: max_epoch           : 120
[06/04 05:08:35] SuperNet Training INFO: learning_rate       : 0.12
[06/04 05:08:35] SuperNet Training INFO: momentum            : 0.9
[06/04 05:08:35] SuperNet Training INFO: weight_decay        : 4e-05
[06/04 05:08:35] SuperNet Training INFO: nesterov            : True
[06/04 05:08:35] SuperNet Training INFO: lr_schedule_type    : cosine
[06/04 05:08:35] SuperNet Training INFO: warmup              : False
[06/04 05:08:35] SuperNet Training INFO: label_smooth        : 0.1
[06/04 05:08:35] SuperNet Training INFO: rank                : 0
[06/04 05:08:35] SuperNet Training INFO: gpu                 : 0
[06/04 05:08:35] SuperNet Training INFO: save_name           : mobile0-k2rN-3638-TBS-seed-0
[06/04 05:08:35] SuperNet Training INFO: log_path            : ./SuperNet/logs/mobile0-k2rN-3638-TBS-seed-0.txt
[06/04 05:08:35] SuperNet Training INFO: ckpt_path           : ./SuperNet/checkpoint/mobile0-k2rN-3638-TBS-seed-0.pt
[06/04 05:08:35] SuperNet Training INFO: dist_url            : tcp://127.0.0.1:23456
[06/04 05:08:35] SuperNet Training INFO: world_size          : 8
[06/04 05:08:35] SuperNet Training INFO: distributed         : True
[06/04 05:08:35] SuperNet Training INFO: ['3x3_MBConv3', '3x3_MBConv6', '5x5_MBConv3', '5x5_MBConv6', '7x7_MBConv3', '7x7_MBConv6', 'Identity']
[06/04 05:08:43] SuperNet Training INFO: [6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6]
[06/04 05:09:10] SuperNet Training INFO: Trainset Size: 1231167
[06/04 05:09:10] SuperNet Training INFO: Validset Size:   50000
[06/04 05:09:10] SuperNet Training INFO: Compose(
    RandomResizedCrop(size=(224, 224), scale=(0.08, 1.0), ratio=(0.75, 1.3333), interpolation=bilinear)
    RandomHorizontalFlip(p=0.5)
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)
[06/04 05:09:10] SuperNet Training INFO: --> START mobile0-k2rN-3638-TBS-seed-0
[06/04 05:09:10] SuperNet Training INFO: {0: 0, 1: 0}
[06/04 05:10:56] SuperNet Training INFO: iter:   120/144360  CE: 6.9245  
[06/04 05:11:57] SuperNet Training INFO: iter:   240/144360  CE: 6.8508  
[06/04 05:12:59] SuperNet Training INFO: iter:   360/144360  CE: 6.9127  
[06/04 05:14:01] SuperNet Training INFO: iter:   480/144360  CE: 6.9708  
[06/04 05:15:02] SuperNet Training INFO: iter:   600/144360  CE: 6.8808  
[06/04 05:16:04] SuperNet Training INFO: iter:   720/144360  CE: 6.8757  
[06/04 05:17:05] SuperNet Training INFO: iter:   840/144360  CE: 6.8380  
[06/04 05:18:07] SuperNet Training INFO: iter:   960/144360  CE: 6.9028  
[06/04 05:19:08] SuperNet Training INFO: iter:  1080/144360  CE: 6.8486  
[06/04 05:20:09] SuperNet Training INFO: iter:  1200/144360  CE: 6.9255  
[06/04 05:20:10] SuperNet Training INFO: --> epoch:   1/120  avg CE: 6.8902  lr: 0.11997943949853311  
[06/04 05:21:42] SuperNet Training INFO: iter:  1320/144360  CE: 6.8151  
[06/04 05:22:44] SuperNet Training INFO: iter:  1440/144360  CE: 6.8383  
[06/04 05:23:46] SuperNet Training INFO: iter:  1560/144360  CE: 6.7781  
[06/04 05:24:48] SuperNet Training INFO: iter:  1680/144360  CE: 6.7731  
[06/04 05:25:49] SuperNet Training INFO: iter:  1800/144360  CE: 6.7451  
[06/04 05:26:51] SuperNet Training INFO: iter:  1920/144360  CE: 6.7902  
[06/04 05:27:52] SuperNet Training INFO: iter:  2040/144360  CE: 6.7381  
[06/04 05:28:54] SuperNet Training INFO: iter:  2160/144360  CE: 6.8006  
[06/04 05:29:56] SuperNet Training INFO: iter:  2280/144360  CE: 6.6921  
[06/04 05:30:57] SuperNet Training INFO: iter:  2400/144360  CE: 6.7387  
[06/04 05:31:00] SuperNet Training INFO: --> epoch:   2/120  avg CE: 6.7927  lr: 0.11991777208527424  
[06/04 05:32:30] SuperNet Training INFO: iter:  2520/144360  CE: 6.6996  
[06/04 05:33:32] SuperNet Training INFO: iter:  2640/144360  CE: 6.7032  
[06/04 05:34:34] SuperNet Training INFO: iter:  2760/144360  CE: 6.7194  
[06/04 05:35:36] SuperNet Training INFO: iter:  2880/144360  CE: 6.6798  
[06/04 05:36:38] SuperNet Training INFO: iter:  3000/144360  CE: 6.7608  
[06/04 05:37:39] SuperNet Training INFO: iter:  3120/144360  CE: 6.6620  
[06/04 05:38:41] SuperNet Training INFO: iter:  3240/144360  CE: 6.6995  
[06/04 05:39:43] SuperNet Training INFO: iter:  3360/144360  CE: 6.7616  
[06/04 05:40:44] SuperNet Training INFO: iter:  3480/144360  CE: 6.6396  
[06/04 05:41:46] SuperNet Training INFO: iter:  3600/144360  CE: 6.6842  
[06/04 05:41:50] SuperNet Training INFO: --> epoch:   3/120  avg CE: 6.6858  lr: 0.11981504002398749  
[06/04 05:43:20] SuperNet Training INFO: iter:  3720/144360  CE: 6.5820  
[06/04 05:44:22] SuperNet Training INFO: iter:  3840/144360  CE: 6.6823  
[06/04 05:45:23] SuperNet Training INFO: iter:  3960/144360  CE: 6.5747  
[06/04 05:46:24] SuperNet Training INFO: iter:  4080/144360  CE: 6.5585  
[06/04 05:47:26] SuperNet Training INFO: iter:  4200/144360  CE: 6.5915  
[06/04 05:48:27] SuperNet Training INFO: iter:  4320/144360  CE: 6.4908  
[06/04 05:49:29] SuperNet Training INFO: iter:  4440/144360  CE: 6.5538  
[06/04 05:50:31] SuperNet Training INFO: iter:  4560/144360  CE: 6.5302  
[06/04 05:51:33] SuperNet Training INFO: iter:  4680/144360  CE: 6.3820  
[06/04 05:52:35] SuperNet Training INFO: iter:  4800/144360  CE: 6.5352  
[06/04 05:52:41] SuperNet Training INFO: --> epoch:   4/120  avg CE: 6.5565  lr: 0.11967131372209595  
[06/04 05:54:08] SuperNet Training INFO: iter:  4920/144360  CE: 6.5727  
[06/04 05:55:10] SuperNet Training INFO: iter:  5040/144360  CE: 6.4423  
[06/04 05:56:12] SuperNet Training INFO: iter:  5160/144360  CE: 6.3751  
[06/04 05:57:14] SuperNet Training INFO: iter:  5280/144360  CE: 6.3090  
[06/04 05:58:16] SuperNet Training INFO: iter:  5400/144360  CE: 6.3692  
[06/04 05:59:17] SuperNet Training INFO: iter:  5520/144360  CE: 6.3625  
[06/04 06:00:19] SuperNet Training INFO: iter:  5640/144360  CE: 6.2818  
[06/04 06:01:22] SuperNet Training INFO: iter:  5760/144360  CE: 6.4363  
[06/04 06:02:24] SuperNet Training INFO: iter:  5880/144360  CE: 6.3976  
[06/04 06:03:27] SuperNet Training INFO: iter:  6000/144360  CE: 6.3306  
[06/04 06:03:34] SuperNet Training INFO: --> epoch:   5/120  avg CE: 6.4050  lr: 0.11948669168242801  
[06/04 06:05:00] SuperNet Training INFO: iter:  6120/144360  CE: 6.3177  
[06/04 06:06:01] SuperNet Training INFO: iter:  6240/144360  CE: 6.4099  
[06/04 06:07:03] SuperNet Training INFO: iter:  6360/144360  CE: 6.2696  
[06/04 06:08:05] SuperNet Training INFO: iter:  6480/144360  CE: 6.3069  
[06/04 06:09:06] SuperNet Training INFO: iter:  6600/144360  CE: 6.2665  
[06/04 06:10:08] SuperNet Training INFO: iter:  6720/144360  CE: 6.2408  
[06/04 06:11:10] SuperNet Training INFO: iter:  6840/144360  CE: 6.3668  
[06/04 06:12:12] SuperNet Training INFO: iter:  6960/144360  CE: 5.9740  
[06/04 06:13:13] SuperNet Training INFO: iter:  7080/144360  CE: 6.1254  
[06/04 06:14:15] SuperNet Training INFO: iter:  7200/144360  CE: 6.2915  
[06/04 06:14:24] SuperNet Training INFO: --> epoch:   6/120  avg CE: 6.2312  lr: 0.1192613004357081  
[06/04 06:15:49] SuperNet Training INFO: iter:  7320/144360  CE: 6.2940  
[06/04 06:16:51] SuperNet Training INFO: iter:  7440/144360  CE: 6.1227  
[06/04 06:17:54] SuperNet Training INFO: iter:  7560/144360  CE: 6.0026  
[06/04 06:18:56] SuperNet Training INFO: iter:  7680/144360  CE: 6.2251  
[06/04 06:19:58] SuperNet Training INFO: iter:  7800/144360  CE: 5.8842  
[06/04 06:21:01] SuperNet Training INFO: iter:  7920/144360  CE: 6.0376  
[06/04 06:22:02] SuperNet Training INFO: iter:  8040/144360  CE: 6.2338  
[06/04 06:23:04] SuperNet Training INFO: iter:  8160/144360  CE: 6.0673  
[06/04 06:24:06] SuperNet Training INFO: iter:  8280/144360  CE: 5.9315  
[06/04 06:25:08] SuperNet Training INFO: iter:  8400/144360  CE: 5.9846  
[06/04 06:25:19] SuperNet Training INFO: --> epoch:   7/120  avg CE: 6.0770  lr: 0.11899529445383715  
[06/04 06:26:41] SuperNet Training INFO: iter:  8520/144360  CE: 6.0902  
[06/04 06:27:42] SuperNet Training INFO: iter:  8640/144360  CE: 6.0445  
[06/04 06:28:44] SuperNet Training INFO: iter:  8760/144360  CE: 5.8692  
[06/04 06:29:45] SuperNet Training INFO: iter:  8880/144360  CE: 5.9068  
[06/04 06:30:47] SuperNet Training INFO: iter:  9000/144360  CE: 5.7730  
[06/04 06:31:48] SuperNet Training INFO: iter:  9120/144360  CE: 5.7643  
[06/04 06:32:49] SuperNet Training INFO: iter:  9240/144360  CE: 5.8292  
[06/04 06:33:51] SuperNet Training INFO: iter:  9360/144360  CE: 5.8839  
[06/04 06:34:53] SuperNet Training INFO: iter:  9480/144360  CE: 5.9556  
[06/04 06:35:54] SuperNet Training INFO: iter:  9600/144360  CE: 5.7787  
[06/04 06:36:06] SuperNet Training INFO: --> epoch:   8/120  avg CE: 5.9433  lr: 0.11868885604402826  
[06/04 06:37:26] SuperNet Training INFO: iter:  9720/144360  CE: 5.9178  
[06/04 06:38:28] SuperNet Training INFO: iter:  9840/144360  CE: 5.8980  
[06/04 06:39:30] SuperNet Training INFO: iter:  9960/144360  CE: 5.7631  
[06/04 06:40:32] SuperNet Training INFO: iter: 10080/144360  CE: 5.9002  
[06/04 06:41:33] SuperNet Training INFO: iter: 10200/144360  CE: 5.9191  
[06/04 06:42:35] SuperNet Training INFO: iter: 10320/144360  CE: 5.8260  
[06/04 06:43:36] SuperNet Training INFO: iter: 10440/144360  CE: 5.8990  
[06/04 06:44:38] SuperNet Training INFO: iter: 10560/144360  CE: 5.6653  
[06/04 06:45:39] SuperNet Training INFO: iter: 10680/144360  CE: 5.8037  
[06/04 06:46:41] SuperNet Training INFO: iter: 10800/144360  CE: 5.7115  
