[03/26 15:28:40] SuperNet Training INFO: tag                 : gss-mobile0-tbs
[03/26 15:28:40] SuperNet Training INFO: seed                : 0
[03/26 15:28:40] SuperNet Training INFO: thresholds          : [58]
[03/26 15:28:40] SuperNet Training INFO: data_path           : ../../../dataset/ILSVRC2012
[03/26 15:28:40] SuperNet Training INFO: save_path           : ./SuperNet
[03/26 15:28:40] SuperNet Training INFO: search_space        : greedy
[03/26 15:28:40] SuperNet Training INFO: valid_size          : 50000
[03/26 15:28:40] SuperNet Training INFO: num_gpus            : 8
[03/26 15:28:40] SuperNet Training INFO: workers             : 4
[03/26 15:28:40] SuperNet Training INFO: interval_ep_eval    : 8
[03/26 15:28:40] SuperNet Training INFO: train_batch_size    : 1024
[03/26 15:28:40] SuperNet Training INFO: test_batch_size     : 256
[03/26 15:28:40] SuperNet Training INFO: max_epoch           : 120
[03/26 15:28:40] SuperNet Training INFO: learning_rate       : 0.12
[03/26 15:28:40] SuperNet Training INFO: momentum            : 0.9
[03/26 15:28:40] SuperNet Training INFO: weight_decay        : 4e-05
[03/26 15:28:40] SuperNet Training INFO: nesterov            : True
[03/26 15:28:40] SuperNet Training INFO: lr_schedule_type    : cosine
[03/26 15:28:40] SuperNet Training INFO: label_smooth        : 0.1
[03/26 15:28:40] SuperNet Training INFO: rank                : 0
[03/26 15:28:40] SuperNet Training INFO: gpu                 : 0
[03/26 15:28:40] SuperNet Training INFO: save_name           : gss-mobile0-tbs-seed-0
[03/26 15:28:40] SuperNet Training INFO: log_path            : ./SuperNet/logs/gss-mobile0-tbs-seed-0.txt
[03/26 15:28:40] SuperNet Training INFO: ckpt_path           : ./SuperNet/checkpoint/gss-mobile0-tbs-seed-0.pt
[03/26 15:28:40] SuperNet Training INFO: dist_url            : tcp://127.0.0.1:23456
[03/26 15:28:40] SuperNet Training INFO: world_size          : 8
[03/26 15:28:40] SuperNet Training INFO: distributed         : True
[03/26 15:28:40] SuperNet Training INFO: ['3x3_MBConv3', '3x3_MBConv6', '5x5_MBConv3', '5x5_MBConv6', '7x7_MBConv3', '7x7_MBConv6', '3x3_MBConv3_SE', '3x3_MBConv6_SE', '5x5_MBConv3_SE', '5x5_MBConv6_SE', '7x7_MBConv3_SE', '7x7_MBConv6_SE', 'Identity']
[03/26 15:29:51] SuperNet Training INFO: Trainset Size: 1231167
[03/26 15:29:51] SuperNet Training INFO: Validset Size:   50000
[03/26 15:29:51] SuperNet Training INFO: Compose(
    RandomResizedCrop(size=(224, 224), scale=(0.08, 1.0), ratio=(0.75, 1.3333), interpolation=bilinear)
    RandomHorizontalFlip(p=0.5)
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)
[03/26 15:29:51] SuperNet Training INFO: --> START gss-mobile0-tbs-seed-0
[03/26 15:32:50] SuperNet Training INFO: iter:   120/144360  CE: 6.9247  
[03/26 15:33:55] SuperNet Training INFO: iter:   240/144360  CE: 6.9137  
[03/26 15:34:58] SuperNet Training INFO: iter:   360/144360  CE: 6.9261  
[03/26 15:36:02] SuperNet Training INFO: iter:   480/144360  CE: 6.9373  
[03/26 15:37:04] SuperNet Training INFO: iter:   600/144360  CE: 6.9064  
[03/26 15:38:08] SuperNet Training INFO: iter:   720/144360  CE: 6.9281  
[03/26 15:39:12] SuperNet Training INFO: iter:   840/144360  CE: 6.9071  
[03/26 15:40:15] SuperNet Training INFO: iter:   960/144360  CE: 6.9452  
[03/26 15:41:18] SuperNet Training INFO: iter:  1080/144360  CE: 6.9001  
[03/26 15:42:21] SuperNet Training INFO: iter:  1200/144360  CE: 6.9884  
[03/26 15:42:23] SuperNet Training INFO: --> epoch:   1/120  avg CE: 6.9165  lr: 0.11997943949853311  
[03/26 15:43:59] SuperNet Training INFO: iter:  1320/144360  CE: 6.8860  
[03/26 15:45:06] SuperNet Training INFO: iter:  1440/144360  CE: 6.8795  
[03/26 15:46:11] SuperNet Training INFO: iter:  1560/144360  CE: 6.8391  
[03/26 15:47:16] SuperNet Training INFO: iter:  1680/144360  CE: 6.8442  
[03/26 15:48:20] SuperNet Training INFO: iter:  1800/144360  CE: 6.8358  
[03/26 15:49:25] SuperNet Training INFO: iter:  1920/144360  CE: 6.9178  
[03/26 15:50:31] SuperNet Training INFO: iter:  2040/144360  CE: 6.8543  
[03/26 15:51:36] SuperNet Training INFO: iter:  2160/144360  CE: 6.8913  
[03/26 15:52:41] SuperNet Training INFO: iter:  2280/144360  CE: 6.8684  
[03/26 15:53:46] SuperNet Training INFO: iter:  2400/144360  CE: 6.8549  
[03/26 15:53:48] SuperNet Training INFO: --> epoch:   2/120  avg CE: 6.8744  lr: 0.11991777208527424  
[03/26 15:55:23] SuperNet Training INFO: iter:  2520/144360  CE: 6.8338  
[03/26 15:56:26] SuperNet Training INFO: iter:  2640/144360  CE: 6.8920  
[03/26 15:57:29] SuperNet Training INFO: iter:  2760/144360  CE: 6.8091  
[03/26 15:58:33] SuperNet Training INFO: iter:  2880/144360  CE: 6.8020  
[03/26 15:59:36] SuperNet Training INFO: iter:  3000/144360  CE: 6.8930  
[03/26 16:00:39] SuperNet Training INFO: iter:  3120/144360  CE: 6.7879  
[03/26 16:01:43] SuperNet Training INFO: iter:  3240/144360  CE: 6.7731  
[03/26 16:02:46] SuperNet Training INFO: iter:  3360/144360  CE: 6.8824  
[03/26 16:03:48] SuperNet Training INFO: iter:  3480/144360  CE: 6.8223  
[03/26 16:04:50] SuperNet Training INFO: iter:  3600/144360  CE: 6.7860  
[03/26 16:04:55] SuperNet Training INFO: --> epoch:   3/120  avg CE: 6.8331  lr: 0.11981504002398749  
[03/26 16:06:27] SuperNet Training INFO: iter:  3720/144360  CE: 6.7940  
